Epoch,Type,Metric,Algorithm,Value
10,Test set,Average loss,ASGD,0.3663
10,Test set,Accuracy,ASGD,87.0
11,Train set,Average loss,ASGD,0.3322
11,Train set,Accuracy,ASGD,89.0
11,Test set,Average loss,ASGD,0.3734
11,Test set,Accuracy,ASGD,86.0
12,Train set,Average loss,ASGD,0.4523
12,Train set,Accuracy,ASGD,89.0
12,Test set,Average loss,ASGD,0.4159
12,Test set,Accuracy,ASGD,86.0
13,Train set,Average loss,ASGD,0.2042
13,Train set,Accuracy,ASGD,89.0
13,Test set,Average loss,ASGD,0.3618
13,Test set,Accuracy,ASGD,86.0
14,Train set,Average loss,ASGD,0.6268
14,Train set,Accuracy,ASGD,89.0
14,Test set,Average loss,ASGD,0.3752
14,Test set,Accuracy,ASGD,87.0
15,Train set,Average loss,ASGD,0.4688
